                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77948,                0.54667,                 1.1886,                0.41688,                0.43094,                0.33629,                0.22587,                 1.3365,                 3.9907,                 1.9401,              0.0004758,              0.0004758,              0.0004758
                      1,                0.81765,                0.59469,                 1.2159,                0.43399,                0.42915,                0.34806,                0.24922,                 1.1673,                 3.9357,                 1.8024,             0.00094394,             0.00094394,             0.00094394
                      2,                0.86173,                0.65227,                 1.2452,                0.40703,                0.40416,                0.33635,                0.23335,                 1.4854,                 3.8013,                 2.0228,              0.0014039,              0.0014039,              0.0014039
                      3,                0.88272,                0.67853,                 1.2634,                0.43488,                0.43122,                0.34893,                0.23495,                 1.3432,                 3.9481,                 1.9352,              0.0013921,              0.0013921,              0.0013921
                      4,                 0.8897,                0.69129,                 1.2705,                0.42319,                0.42873,                0.34241,                0.22491,                 1.2785,                 4.2453,                 1.9063,              0.0013921,              0.0013921,              0.0013921
                      5,                0.87871,                0.68431,                 1.2627,                0.44665,                0.41416,                0.34769,                0.23685,                 1.1817,                 3.7273,                 1.8282,              0.0013798,              0.0013798,              0.0013798
                      6,                0.87507,                0.66664,                 1.2649,                0.41766,                0.42104,                0.34241,                0.23922,                 1.1729,                 3.8715,                 1.7937,              0.0013675,              0.0013675,              0.0013675
                      7,                0.87438,                0.66907,                 1.2571,                0.42119,                0.43607,                0.33698,                0.22942,                  1.176,                 3.8165,                 1.8323,              0.0013552,              0.0013552,              0.0013552
                      8,                0.87312,                0.67065,                 1.2598,                0.40806,                0.43603,                0.33466,                 0.2334,                 1.1391,                 3.5433,                 1.7617,              0.0013429,              0.0013429,              0.0013429
                      9,                0.86678,                0.65992,                 1.2592,                0.39797,                0.44375,                0.32062,                0.22583,                 1.1566,                 3.6335,                 1.7675,              0.0013306,              0.0013306,              0.0013306
                     10,                0.85808,                0.65744,                 1.2517,                0.43031,                0.42279,                0.32866,                0.21973,                 1.2312,                 3.9508,                 1.8559,              0.0013183,              0.0013183,              0.0013183
                     11,                0.85097,                 0.6413,                 1.2424,                0.39851,                0.42403,                0.32538,                0.22849,                 1.1756,                 3.9423,                 1.7822,               0.001306,               0.001306,               0.001306
                     12,                0.85859,                0.64551,                 1.2501,                0.42883,                0.42328,                0.34326,                0.23832,                 1.2301,                 3.8207,                 1.8519,              0.0012937,              0.0012937,              0.0012937
                     13,                0.84572,                0.64431,                 1.2365,                0.42975,                  0.431,                 0.3508,                 0.2426,                 1.2106,                 3.7906,                 1.8254,              0.0012814,              0.0012814,              0.0012814
                     14,                0.84119,                0.63813,                 1.2409,                0.40737,                0.44645,                0.33444,                0.23371,                 1.1851,                  4.016,                 1.8016,              0.0012691,              0.0012691,              0.0012691
                     15,                0.84755,                0.63193,                 1.2396,                0.43659,                0.43888,                0.35412,                0.25329,                 1.1971,                 4.1182,                 1.8176,              0.0012568,              0.0012568,              0.0012568
                     16,                0.84546,                0.62734,                 1.2407,                0.45582,                0.42694,                0.35707,                0.25311,                 1.1439,                 3.7374,                  1.779,              0.0012445,              0.0012445,              0.0012445
                     17,                0.83877,                0.63008,                 1.2435,                 0.4554,                0.41251,                0.35402,                0.24985,                 1.2094,                 3.6283,                 1.8087,              0.0012322,              0.0012322,              0.0012322
                     18,                0.82367,                0.62711,                 1.2307,                0.43429,                0.42654,                0.35818,                 0.2477,                 1.1455,                 3.4132,                 1.7823,              0.0012199,              0.0012199,              0.0012199
                     19,                0.83678,                0.62184,                 1.2309,                0.44038,                0.43626,                0.36439,                0.25436,                 1.1258,                 3.5415,                 1.7552,              0.0012076,              0.0012076,              0.0012076
                     20,                0.81732,                0.60619,                 1.2206,                0.44747,                0.41559,                0.35944,                0.24545,                 1.1984,                 3.8733,                 1.8141,              0.0011953,              0.0011953,              0.0011953
