                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93852,                0.72932,                  1.313,                 0.8457,                0.80894,                0.83953,                0.58448,                 1.1056,                0.74901,                 1.6962,              0.0093466,              0.0093466,              0.0093466
                     35,                0.93393,                0.72886,                 1.3082,                0.86098,                0.80043,                0.85033,                0.58406,                 1.1216,                0.74514,                 1.6845,              0.0093268,              0.0093268,              0.0093268
                     36,                0.92814,                 0.7129,                 1.3058,                0.86001,                0.80668,                0.85486,                0.58331,                 1.1231,                0.73512,                 1.7113,               0.009307,               0.009307,               0.009307
                     37,                0.93294,                0.72268,                 1.3062,                0.83942,                0.81699,                0.86237,                0.58935,                 1.1063,                0.72607,                 1.6794,              0.0092872,              0.0092872,              0.0092872
                     38,                 0.9335,                 0.7235,                 1.3132,                0.85101,                 0.7945,                0.85008,                0.58269,                 1.1071,                0.73382,                 1.7083,              0.0092674,              0.0092674,              0.0092674
                     39,                0.93528,                0.70881,                 1.3029,                0.85506,                0.81636,                0.86762,                0.58141,                 1.1176,                0.75211,                 1.7128,              0.0092476,              0.0092476,              0.0092476
                     40,                0.92585,                0.72019,                 1.2987,                0.81687,                0.82689,                0.84961,                0.56651,                 1.1572,                0.77583,                 1.7676,              0.0092278,              0.0092278,              0.0092278
                     41,                0.92376,                0.71112,                 1.2988,                0.83761,                0.80026,                0.85987,                0.57532,                 1.1413,                0.76532,                 1.7418,               0.009208,               0.009208,               0.009208
                     42,                0.92195,                0.71468,                 1.2948,                 0.8372,                0.81808,                0.85422,                0.58009,                 1.1255,                0.75821,                 1.7195,              0.0091882,              0.0091882,              0.0091882
                     43,                0.92843,                0.70736,                 1.3034,                0.87849,                0.81404,                0.86923,                0.58721,                 1.1212,                0.73195,                 1.7284,              0.0091684,              0.0091684,              0.0091684
                     44,                0.92127,                0.70515,                 1.3014,                0.84994,                0.83709,                0.87738,                0.59508,                 1.0816,                0.71401,                 1.6568,              0.0091486,              0.0091486,              0.0091486
                     45,                0.92208,                0.69807,                  1.298,                0.83412,                0.79927,                0.85373,                0.59258,                 1.1185,                0.76473,                 1.6835,              0.0091288,              0.0091288,              0.0091288
                     46,                0.92107,                0.69829,                 1.2932,                0.82117,                0.82404,                0.84031,                0.56466,                 1.1276,                0.78582,                 1.7067,               0.009109,               0.009109,               0.009109
                     47,                0.91258,                0.69818,                 1.2943,                0.85251,                0.78708,                0.85234,                0.56663,                 1.1191,                0.76843,                  1.718,              0.0090892,              0.0090892,              0.0090892
                     48,                0.91858,                0.69604,                 1.2974,                0.84784,                0.81778,                0.85413,                0.57322,                 1.1095,                 0.7615,                 1.6904,              0.0090694,              0.0090694,              0.0090694
                     49,                0.90889,                0.69413,                 1.2883,                0.83621,                0.81295,                0.84474,                0.57083,                 1.1578,                0.76942,                 1.7551,              0.0090496,              0.0090496,              0.0090496
                     50,                0.90589,                0.68886,                 1.2901,                 0.8087,                0.81975,                0.82728,                0.55411,                 1.1437,                0.78782,                 1.7377,              0.0090298,              0.0090298,              0.0090298
                     51,                0.91561,                0.69186,                 1.2947,                0.88098,                0.78662,                 0.8501,                 0.5854,                 1.1384,                0.73739,                 1.7462,                0.00901,                0.00901,                0.00901
                     52,                0.89911,                0.68563,                 1.2841,                0.84363,                0.78614,                0.84397,                 0.5828,                 1.1227,                0.76705,                 1.6987,              0.0089902,              0.0089902,              0.0089902
                     53,                0.90948,                0.69088,                 1.2868,                 0.8365,                0.81546,                 0.8423,                0.57475,                 1.1275,                0.77291,                 1.7018,              0.0089704,              0.0089704,              0.0089704
                     54,                0.89874,                0.68236,                 1.2835,                0.84632,                 0.8007,                0.84586,                0.57424,                  1.137,                0.76166,                 1.7284,              0.0089506,              0.0089506,              0.0089506
                     55,                0.91443,                0.69269,                 1.2899,                0.87124,                0.79736,                0.86179,                 0.5911,                 1.1192,                0.73447,                 1.6754,              0.0089308,              0.0089308,              0.0089308
                     56,                0.89422,                0.68148,                 1.2765,                0.86138,                0.82105,                0.86236,                 0.5825,                  1.116,                0.76031,                 1.6986,               0.008911,               0.008911,               0.008911
                     57,                0.90596,                0.68237,                  1.286,                0.86652,                0.80298,                0.85915,                0.58779,                  1.103,                0.71051,                 1.6821,              0.0088912,              0.0088912,              0.0088912
                     58,                0.89772,                0.68254,                 1.2831,                0.82588,                0.81413,                0.85816,                0.58198,                 1.0985,                0.75627,                 1.6861,              0.0088714,              0.0088714,              0.0088714
                     59,                0.89814,                0.67516,                 1.2787,                0.84893,                0.80149,                0.86065,                0.58522,                 1.1157,                0.73711,                 1.6978,              0.0088516,              0.0088516,              0.0088516
                     60,                0.89217,                0.67599,                 1.2763,                0.82505,                0.81362,                0.83654,                0.57158,                  1.125,                0.78381,                 1.7081,              0.0088318,              0.0088318,              0.0088318
                     61,                0.89691,                0.67667,                 1.2761,                0.83004,                0.82097,                0.85115,                0.58184,                 1.1024,                0.74795,                 1.6847,               0.008812,               0.008812,               0.008812
                     62,                0.88485,                0.66822,                 1.2783,                 0.8285,                0.81096,                0.84349,                0.57683,                  1.109,                0.77621,                 1.7034,              0.0087922,              0.0087922,              0.0087922
                     63,                0.89613,                 0.6684,                 1.2791,                0.83415,                 0.8157,                0.83445,                0.57153,                 1.1119,                0.77239,                 1.7051,              0.0087724,              0.0087724,              0.0087724
                     64,                  0.882,                0.67112,                  1.271,                0.83033,                0.84719,                0.85943,                0.59576,                 1.0819,                0.71374,                 1.6852,              0.0087526,              0.0087526,              0.0087526
                     65,                0.89525,                0.67482,                  1.277,                0.82632,                0.82251,                0.84994,                0.58232,                 1.0881,                0.76247,                 1.6807,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.8994,                0.68159,                 1.2813,                0.83571,                0.85361,                0.87004,                0.59989,                 1.0942,                0.72155,                 1.6995,               0.008713,               0.008713,               0.008713
                     67,                0.87891,                0.65672,                 1.2677,                0.81381,                0.84973,                 0.8495,                0.57645,                  1.126,                0.73589,                 1.7331,              0.0086932,              0.0086932,              0.0086932
                     68,                0.87844,                 0.6739,                 1.2667,                0.86041,                0.81125,                0.87386,                0.60612,                 1.0635,                0.70318,                 1.6664,              0.0086734,              0.0086734,              0.0086734
                     69,                0.87983,                 0.6496,                 1.2707,                0.83397,                 0.8324,                0.86525,                0.58964,                  1.116,                0.72072,                 1.6889,              0.0086536,              0.0086536,              0.0086536
                     70,                0.87739,                 0.6505,                 1.2706,                0.84785,                0.82161,                0.86041,                 0.5944,                 1.0886,                0.71663,                 1.6711,              0.0086338,              0.0086338,              0.0086338
                     71,                0.87904,                0.66264,                 1.2717,                0.83678,                0.84125,                0.85916,                0.59291,                 1.0861,                0.72382,                 1.6861,               0.008614,               0.008614,               0.008614
                     72,                0.88978,                0.66591,                 1.2694,                0.85867,                 0.8049,                 0.8542,                0.57989,                 1.0959,                0.73795,                 1.7095,              0.0085942,              0.0085942,              0.0085942
                     73,                0.88321,                0.65479,                 1.2681,                0.85612,                0.81233,                0.86242,                0.58475,                 1.1192,                0.72369,                 1.7137,              0.0085744,              0.0085744,              0.0085744
                     74,                0.87852,                0.65738,                 1.2663,                0.82151,                0.84004,                0.86192,                0.59484,                 1.1078,                0.72476,                 1.7155,              0.0085546,              0.0085546,              0.0085546
                     75,                0.86859,                0.65665,                 1.2637,                0.83003,                0.82641,                0.85043,                0.58908,                 1.1039,                 0.7697,                 1.6981,              0.0085348,              0.0085348,              0.0085348
                     76,                0.88204,                0.65814,                 1.2715,                0.85118,                0.80701,                 0.8673,                0.60022,                 1.0822,                0.70561,                 1.6841,               0.008515,               0.008515,               0.008515
                     77,                0.87302,                 0.6596,                 1.2629,                 0.8258,                0.80479,                 0.8385,                 0.5896,                  1.078,                0.75061,                 1.6803,              0.0084952,              0.0084952,              0.0084952
                     78,                0.88332,                0.66733,                 1.2677,                0.84275,                 0.8586,                  0.865,                0.60228,                 1.0631,                0.68404,                 1.6561,              0.0084754,              0.0084754,              0.0084754
                     79,                0.87441,                0.66067,                 1.2601,                0.86204,                0.80497,                0.87056,                0.59312,                  1.081,                0.69632,                 1.6789,              0.0084556,              0.0084556,              0.0084556
                     80,                 0.8661,                0.64001,                 1.2582,                0.83688,                0.83869,                  0.853,                0.59034,                 1.0833,                0.70984,                 1.6709,              0.0084358,              0.0084358,              0.0084358
