                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0914,                 1.0174,                 1.4645,                0.80062,                0.70789,                0.77652,                0.48889,                 1.2765,                 1.0493,                 1.8215,             0.00047571,             0.00047571,             0.00047571
                      1,                 1.1666,                 1.1365,                 1.5132,                0.72877,                0.71647,                0.73424,                0.44281,                 1.3458,                 1.2398,                  1.906,             0.00094157,             0.00094157,             0.00094157
                      2,                 1.2171,                 1.2172,                 1.5556,                0.74924,                0.69155,                0.72097,                0.44055,                  1.417,                 1.2002,                 2.0153,              0.0013969,              0.0013969,              0.0013969
                      3,                 1.2132,                 1.2151,                 1.5613,                0.66079,                0.65206,                0.65653,                0.40942,                 1.3506,                 1.2616,                 1.9173,              0.0013818,              0.0013818,              0.0013818
                      4,                 1.1945,                  1.172,                 1.5471,                0.75643,                0.67913,                0.71323,                0.44954,                 1.3347,                  1.246,                 1.8969,              0.0013818,              0.0013818,              0.0013818
                      5,                 1.1895,                 1.1752,                 1.5374,                0.80101,                0.69639,                0.76519,                0.47704,                 1.3383,                  1.143,                 1.8963,              0.0013661,              0.0013661,              0.0013661
                      6,                 1.1821,                 1.1596,                 1.5295,                0.75762,                0.69817,                0.73981,                0.45708,                  1.331,                 1.2011,                 1.8975,              0.0013504,              0.0013504,              0.0013504
                      7,                 1.1871,                 1.1188,                 1.5299,                0.78363,                 0.6985,                0.74993,                0.48032,                 1.2628,                 1.1345,                  1.874,              0.0013347,              0.0013347,              0.0013347
                      8,                 1.1631,                 1.0988,                 1.5171,                0.77223,                0.72982,                0.75663,                0.48435,                 1.2656,                 1.1041,                 1.8511,               0.001319,               0.001319,               0.001319
                      9,                 1.1509,                 1.0998,                 1.5137,                0.75484,                0.71354,                0.73705,                0.47469,                  1.304,                 1.0773,                 1.8671,              0.0013032,              0.0013032,              0.0013032
                     10,                 1.1316,                 1.0742,                  1.491,                0.81968,                0.75207,                 0.8113,                0.52234,                 1.2204,                0.99032,                 1.7844,              0.0012875,              0.0012875,              0.0012875
                     11,                 1.1508,                 1.0865,                 1.5061,                 0.7655,                0.72774,                0.75901,                 0.4912,                 1.2439,                  1.151,                 1.7881,              0.0012718,              0.0012718,              0.0012718
                     12,                 1.1377,                 1.0562,                  1.494,                 0.8067,                 0.7221,                 0.7778,                0.50805,                 1.2455,                 1.0183,                 1.8027,              0.0012561,              0.0012561,              0.0012561
                     13,                 1.1316,                 1.0442,                 1.4879,                0.78652,                0.76694,                0.79146,                0.51434,                 1.2204,                0.97816,                 1.8297,              0.0012404,              0.0012404,              0.0012404
                     14,                 1.1038,                 1.0106,                 1.4719,                 0.7816,                0.77747,                0.78991,                0.52563,                 1.1951,                0.94761,                 1.7714,              0.0012247,              0.0012247,              0.0012247
                     15,                 1.1156,                 0.9978,                 1.4671,                0.79783,                0.73364,                0.75897,                0.50088,                 1.2276,                 1.0145,                 1.8117,              0.0012089,              0.0012089,              0.0012089
                     16,                 1.0967,                0.99557,                 1.4652,                 0.7754,                 0.7345,                0.77039,                0.51872,                 1.1648,                0.98952,                 1.7601,              0.0011932,              0.0011932,              0.0011932
                     17,                 1.0884,                0.97909,                 1.4551,                0.73125,                0.77077,                0.76996,                0.51351,                 1.2207,                0.99666,                 1.7946,              0.0011775,              0.0011775,              0.0011775
